지점,지점명,일시,최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,2020-08-25,7.6,180,1456,4.6,320,1722,2.1,1822,200
108,서울,2020-08-26,13.9,70,2344,6.5,70,2352,3.4,2931,70
108,서울,2020-08-27,15.6,140,535,7,110,510,3.6,3101,110
108,서울,2020-08-28,7.4,230,1418,4.4,250,1433,1.6,1411,270
108,서울,2020-08-29,7.4,160,1057,4,160,1100,1.3,1122,50
108,서울,2020-08-30,8.1,50,2311,4.8,50,2253,2.1,1800,200
108,서울,2020-08-31,8.2,110,1427,4.3,50,24,2.8,2410,50
108,서울,2020-09-01,7.5,110,9,3.6,90,9,1.9,1627,110
108,서울,2020-09-02,7.6,50,1542,4,50,1543,2.3,1970,50
108,서울,2020-09-03,21.5,290,829,9.8,270,722,4.8,4121,200
108,서울,2020-09-04,9.7,180,358,5.6,200,405,2.7,2316,200
108,서울,2020-09-05,5.8,110,1756,3.5,110,1838,2,1685,50
108,서울,2020-09-06,9.7,70,1952,4.8,50,1957,2.7,2301,50
108,서울,2020-09-07,15.3,20,1109,7.9,320,1059,4.2,3664,50
108,서울,2020-09-08,15.4,250,731,7,250,734,4.2,3616,230
108,서울,2020-09-09,13.1,320,1327,7.6,320,1332,2.1,1803,180
108,서울,2020-09-10,7.3,180,1455,4.2,180,1501,2,1722,50
108,서울,2020-09-11,9.7,110,1342,4.9,50,2045,2.8,2438,50
108,서울,2020-09-12,8,70,229,3.9,50,230,2,1743,50
108,서울,2020-09-13,6.1,340,1538,3.5,320,1507,1.9,1663,50
108,서울,2020-09-14,7.4,290,1728,4.3,290,1732,1.8,1581,270
108,서울,2020-09-15,5.9,160,1346,3.3,180,1447,1.6,1414,50
108,서울,2020-09-16,6.1,180,1445,3.4,200,1451,1.9,1644,180
108,서울,2020-09-17,6.3,320,1555,3.7,290,1603,2.1,1854,270
108,서울,2020-09-18,12.4,230,1421,6,230,1423,2.8,2453,250
108,서울,2020-09-19,9.6,290,1640,5.3,270,1637,2.2,1919,250
108,서울,2020-09-20,8.2,290,1440,4.9,270,1442,2,1700,290
108,서울,2020-09-21,5.3,160,1238,2.9,160,1239,1.7,1433,50
108,서울,2020-09-22,9.2,110,2102,4.6,50,2138,2.8,2400,50
108,서울,2020-09-23,9.5,50,1707,5.3,50,1344,3.3,2879,50
108,서울,2020-09-24,10.8,20,1223,5.7,50,1236,3.7,3175,50
108,서울,2020-09-25,8.4,50,1553,4.9,50,1518,2.5,2120,50
108,서울,2020-09-26,10.5,20,1617,6.2,50,1619,2.4,2114,50
